date,url,username,content
2022-11-30T06:11:54+00:00,https://twitter.com/Bella_beneamata/status/1597835795737776129,Bella_beneamata,"Layak menjadi penerus Kerja Jokowi adalah Pasangan @ganjarpranowo &amp; @erickthohir.

Penerus kepemimpinan Indonesia adalah pemimpin yang merakyat ✔️

Memiliki karakter kepemimpinan yang tidak jauh berbeda dengan Presiden Jokowi ✔️

#BangkitBersamaET https://t.co/0DPDALhljG"
,,,
2022-11-30T06:11:04+00:00,https://twitter.com/n3wbie__/status/1597835584973656064,n3wbie__,Pengamat politik Fahlesa Munabari menilai kata-kata Presiden @jokowi yang meminta sukarelawan mendukung pemimpin yang selalu memikirkan rakyat adalah kode-kode yang mengarah kepada Gubernur Jawa Tengah @ganjarpranowo https://t.co/037ZwHqF06
,,,
2022-11-30T05:54:23+00:00,https://twitter.com/richhearth/status/1597831388543455232,richhearth,@HidayatulAziz28 @sewoko_elnoor @jokowi @ganjarpranowo @psi_id Emang Anies diusung Partai Berapa koma.. Udah ada 20%..hahhaa..ente rada2 yah.. Kadang2 Halu nya kebangetan... padahal mau Mencapai 20% aja belum beress... Koalisi belum beres. Mudah copas capres kemana2.. Giliran ntr ga jadi.. Ngamuk protesnya ke Pemerintah.. Kan asuu
,,,
2022-11-30T05:23:11+00:00,https://twitter.com/UalwaysBeMySide/status/1597823533958434816,UalwaysBeMySide,"Kode Presiden Jokowi,,, emang pas buat bpk @ganjarpranowo 

Ganjar tdk suka bangun gedung megah, tp suka bangun embung yg berguna &amp; bermanfaat utk petani &amp; warga desa.
🇲🇨🇲🇨 keren 🫰😎 https://t.co/OJMY60riWF"
,,,
2022-11-30T05:10:56+00:00,https://twitter.com/Jentiana2/status/1597820452759826432,Jentiana2,"Elektabilitas Ganjar Pranowo Teratas, Disusul Anies Baswedan Lalu Prabowo

Gubernur Jawa Tengah @ganjarpranowo  menjuarai survei elektabilitas calon presiden (capres) yang dirilis lembaga survei Charta Politika, Selasa (29/11/2022).
#GANTARI https://t.co/cFlLKgc3Sz"
,,,
2022-11-30T05:09:12+00:00,https://twitter.com/wigRahman/status/1597820016111779842,wigRahman,"Andai @jokowi merestui @prabowo sebagai capres berpasangan dengan @ganjarpranowo sebagai cawapres, apakah anda setuju melawannya dengan memasangkan @aniesbaswedan sebagai capres berpasangan dengan @puanmaharani_ri sebagai cawapres di pilpres 2024?"
,,,
2022-11-30T04:47:38+00:00,https://twitter.com/RusdiEffendi10/status/1597814587180863489,RusdiEffendi10,@BosPurwa @ganjarpranowo Itulah calon presiden sesungguhnya
,,,
2022-11-30T04:23:44+00:00,https://twitter.com/Raffi04241376/status/1597808574205657089,Raffi04241376,"@ganjarpranowo Saran dan masukan buat para Kyai, Ulama, Habib dan Para Habaib, Jika ada Capres yang Berkunjung dan Sowan, Coba sekali2 Capresnya disodorin Al-Qur' an untuk Diminta Ngaji, Agar Rakyat Tahu Apakah Capresnya Bener2 Orang  yang Taat Beragama?.
Jangan cuman salaman dan foto2 doang."
,,,
2022-11-30T04:02:32+00:00,https://twitter.com/_dedek__1209/status/1597803238824509441,_dedek__1209,"@LekMarteg @ganjarpranowo Bang cyiiin... mana ada arjuna jombloh...???
🤦‍♀️🤦‍♀️🤦‍♀️

Ayoooo... kita dukung pak @ganjarpranowo memerankan arjuna... sblm jd presiden di 2024"
,,,
2022-11-30T03:56:17+00:00,https://twitter.com/BIENSenator2022/status/1597801663859150849,BIENSenator2022,@Syarman59 Jika @ganjarpranowo  @PDI_Perjuangan di duetkan dengan bapak @prabowo @Gerindra maka kelar hidup ABAS dan kemungkinan cuma ada satu calon presiden di tahun #2024 karena OLIGARK akan mundur bakar duit 💯 trilyun buat ABAS karena kemungkinan kalah sangatlah besar.🤔☕
,,,
2022-11-30T03:28:32+00:00,https://twitter.com/LekMarteg/status/1597794680909205506,LekMarteg,"Trotokkk tokkk tokkkk
jederrrrr

Pesan Marto (sang pemeran Arjuna)

Hayukkk Dukung Pak @ganjarpranowo sebagai Presiden RI 2024 https://t.co/IENLuy1Gx5"
,,,
2022-11-30T03:14:22+00:00,https://twitter.com/Yuken50317915/status/1597791117164306433,Yuken50317915,@YUDHI_Laksana @ganjarpranowo Baru sekarang karena Saya Capres 2024 nanti.
,,,
2022-11-30T02:53:04+00:00,https://twitter.com/JesicaRahmadina/status/1597785754931191810,JesicaRahmadina,"Survei terbaru Charta Politika yang dilakukan 4 - 12 November 2022 untuk pasangan capres cawapres 2024, berdasarkan simulasi dipasangkan dengan siapapun tokohnya, Bapak Rambut Putih @ganjarpranowo selalu berada dipuncak.
Pokoke gayeng tenan...✊ https://t.co/MtHuSRRsdb"
,,,
2022-11-30T02:47:03+00:00,https://twitter.com/qiunco2761/status/1597784243769266176,qiunco2761,"Survey Charta Politka 
Mendapatkan 
31 % pendukung tak akan 
Pilih PDIP jika partai 
Tidak menunjuk 
@ganjarpranowo 
Sebagai Capres  th 2024
Direktur eksekutif 
Yunarto Wijaya 
Ungkapkan https://t.co/eW29uVl0r7"
,,,
2022-11-30T02:06:57+00:00,https://twitter.com/Heriek/status/1597774151326236673,Heriek,"@M45Broo Pastinya, Rakyat Indonesia berharap @PDI_Perjuangan kembali benar2 berjuang untuk rakyat dan rakyat menginginkan @ganjarpranowo Presiden RI setelah @jokowi. Kalau tidak @PDI_Perjuangan pasti akan jeblok ditinggal pergi oleh rakyat Indonesia."
,,,
2022-11-30T01:34:17+00:00,https://twitter.com/Deddyash1/status/1597765929953538048,Deddyash1,@Alves_Ag88 @ChusnulCh__ @jokowi @ganjarpranowo Jangan pilih presiden boneka dari presiden sebelumnya jadi jongos oligarki.
,,,
2022-11-30T01:32:31+00:00,https://twitter.com/OmHardiman/status/1597765483758878721,OmHardiman,"@RijieqA @Iswanto31700503 @ganjarpranowo Pada prinsipnya umat tertentu menggalang dukungan pada kandidat capres tertentu monggo silahkan, umat islam menggalang dukungan pemimpin tertentu pun tak masalah"
,,,
2022-11-30T01:20:24+00:00,https://twitter.com/ZaemKribo/status/1597762437289496576,ZaemKribo,"@msaid_didu @ganjarpranowo harusnya mikir 
Ngatasin Jawa tengah dulu sampai makmur
Jangan ngotot maju calon presiden
bila Ganjar presiden
Negara ini akan di bawa jad negara trmiskn sedunia"
,,,
2022-11-30T01:09:51+00:00,https://twitter.com/PagiPerindu/status/1597759781523304448,PagiPerindu,"Ganjar Presiden 😍
Okelah pastinya💋🇮🇩

@ganjarpranowo 
#GanjarTheNextPresident 
#GANTARI🇮🇩 https://t.co/O8oDKEXVpC"
,,,
2022-11-30T01:09:40+00:00,https://twitter.com/qiunco2761/status/1597759737365663745,qiunco2761,"Kode yg diberikan Presiden 
Dinilai Pengamat 
Sangat pass ditujukan buat 
@ganjarpranowo 
Karena 2 priode menjabat
Gubernur 
Program yg dijalan langsung 
Dituju untuk Rakyat https://t.co/KCuMzqQCkJ"
,,,
2022-11-30T01:01:46+00:00,https://twitter.com/hsuf/status/1597757745985245184,hsuf,"@penguasahati @ganjarpranowo Kok jadi deja vu, seperti seorang eks presiden dari partai biru.... 😅"
,,,
2022-11-30T00:14:39+00:00,https://twitter.com/capparuni/status/1597745891129331712,capparuni,"@Alves_Ag88 @jokowi @ganjarpranowo Gak etis dan gak punya adab ngajak perang rakyat lapor ke Jokowi, Jokowi itu presiden RI buat seluruh rakyat sekalipun yg gak memilih dia, bukan presidennya relawan otak pendek seperti kalian yg bodoh.

Dimana pendukung Anies ngajak perang ? Pesan Anies aja spt ini 👇 https://t.co/ywhfchGYy2"
,,,
2022-11-29T23:43:57+00:00,https://twitter.com/Aprilia_wiji/status/1597738164340199424,Aprilia_wiji,"Menurut pengamat politik Ahmad Hidayah, pasangan gubernur Jawa Tengah @ganjarpranowo dan menteri BUMN @erickthohir dinilai mampu menjadi penerus estafet kepemimpinan dan program kerja dari Presiden Jokowi untuk 2024, karena kemiripan karakter yang dimiliki.
#BangkitBersamaET https://t.co/hyKazHVBzj"
,,,
2022-11-29T22:42:49+00:00,https://twitter.com/RizkiR4madani/status/1597722780136792066,RizkiR4madani,"Pimpin Jateng, Kinerja @ganjarpranowo Dibocorkan Warganya, Pantas Jadi Presiden? Knp Dmikian.. ? Krna Beliau, Bener"" Bekerja.. Maksimal Dlm Melayani Warga/Rakyat Sebagai Pemimpin..Yg Di Embannya.. Ya Memang Layak Kalau #GanjarTheNextPresident 🇮🇩 ✊https://t.co/3GpymvhuUr"
,,,
2022-11-29T22:36:15+00:00,https://twitter.com/Dedd32605576/status/1597721127752978433,Dedd32605576,@musniumar Betul Luar Biasa Bapak @ganjarpranowo The Next Presiden 👍 https://t.co/sa0s2XdMVw
,,,
2022-11-29T22:20:33+00:00,https://twitter.com/pdo3004/status/1597717176060096514,pdo3004,"@Sejulfica1 @ganjarpranowo Biasakan cermat membaca, mendengar dng detik bukan sepotong2. Yg disampaikan pak Jokowi ada kata ADA dan SAMPAI, artinya TDK semua orang yg dahi berkerut dan rambut putih bisa jadi Pemimpin. Tpi bisa jadi yg hny pandai merangkai kata dan lancar bhs Inggris TDK layak jd Capres"
,,,
2022-11-29T21:58:09+00:00,https://twitter.com/aan_muba/status/1597711539204952064,aan_muba,"Apapun lembaga surveinya dan siapapun pasangan wakilnya @ganjarpranowo SEMAKIN KOKOH DI PUNCAK SURVEI CAPRES &amp; CAWAPRES 2024

#GANTARI🇮🇩 #2024ManutJokowi https://t.co/ADuHHSmK3E"
,,,
2022-11-29T21:55:09+00:00,https://twitter.com/wedang212/status/1597710783475249153,wedang212,"@Miduk17 Kalau @aniesbaswedan sudah di ajukan sebagai calon presiden oleh @NasDem walaupun belum memenuhi PT 20%. Lah kalau @ganjarpranowo partai mana yang sudah mendeklarasikannya?
Partai @PDI_Perjuangan sendiri belum mengumumkan calonnya."
,,,
