date,url,username,content,cleaned
2022-09-20,https://twitter.com/yudhas001/status/1572131551147884544,yudhas001,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo cian amir dweh  liat hasil prabocor si capres abadi,cian amir dweh hasil prabocor abadi
2022-09-20,https://twitter.com/Neng_Anyar/status/1572128793917263874,Neng_Anyar,"Polling Capres oleh @YoutubeILC: @aniesbaswedan msh yg tertinggi dgn raihan 81%, mengungguli jauh @ganjarpranowo dan @prabowo. 

Para buzzeRp istana makin panik nih. Biasanya minggu depan akan muncul hasil survey tandingan buatan istana. https://t.co/aBHEknqxah",poling tingi raih mengunguli buzerp istana panik mingu muncul hasil survey tanding buat istana
2022-09-20,https://twitter.com/bisnis_h/status/1572083568058433536,bisnis_h,"@Tan_Mar3M @Dahnilanzar Sudah aman, selama pak @prabowo  ada semua aman 🤣🤣🤣, utk yg ketahuan yg tdk ya zaman juga 😂😂 , yg penting aman suaranya dibutuhkan sampai jd calon presiden lagi dan lagi.",tahu zaman penting suara butuh
2022-09-20,https://twitter.com/Asmaragadjyry/status/1572078067673362433,Asmaragadjyry,"Jujur Sabar Arif dan Bijaksan
Presiden @jokowi 🇮🇩 👍
          ☝️

@SBYudhoyono 
@aniesbaswedan 
@Pak_JK 
@ganjarpranowo 
@prabowo https://t.co/qDTtZQcYjA",jujur sabar arif bijaksan
2022-09-20,https://twitter.com/kasep_mulyana/status/1572064880336961536,kasep_mulyana,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Cocok jadi presiden ILC 😁👏👏👏,cocok ilc
2022-09-20,https://twitter.com/mogedreamer/status/1572046574397829120,mogedreamer,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Horeee... Presiden versi polling dan quickcount seperti yg dulu2.. Sujud syukur dululah pak... 🤣🤣,hore versi poling quickcount sujud syukur dululah
2022-09-20,https://twitter.com/excell_14/status/1572037569726287875,excell_14,"@prabowo ayo pak benahin, kali aja jadi presiden abis ini 👀 https://t.co/LXroo1L1fq",benah habis
2022-09-20,https://twitter.com/Noni33697740/status/1572035434234122240,Noni33697740,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Yg jlas kerjanya buktinya prestasinya,layak mnjadi Presiden RI berikutnya.. Aamiin yarobbalAllamiin https://t.co/sqd0dH4bxx",jlas kerja bukti prestasi layak yarobalalamin
2022-09-20,https://twitter.com/AHarris_S/status/1572022451705638913,AHarris_S,@FerdinandHutah4 @jokowi @prabowo Konskwensi bila PDIP tetap usung Prabowo bukan Ganjar. Pemodal akan lari. Sementara pemodal ini yg berkontribusi jadikan Jokowi Presiden. Siap-siap Gerindra dikhianati untuk kedua kali. 😆😆😆,konskwensi partai demokrasi indonesia juang usung modal lari modal kontribusi jadi jokowi siap siap gerindra khianat
2022-09-20,https://twitter.com/twectan/status/1572021321688846338,twectan,"@darmantahu @YoutubeILC @DrEvaChaniago @aniesbaswedan @ganjarpranowo @prabowo Ya kita tunggu apakah bohirnya berhasil membeli politik capres juga?
Dengan uang pundi2 nya.
Kita lihat karena money can talk sampai bisa membuat orang ga waras dan menjual negaranya .karena orang gabener ini kok bisa masuk radar capres?
The unswer is money can talk",tungu bohirnya hasil beli politik pundi money belum talk bisa engak waras jual negara gabener bisa radar unswer money belum talk
2022-09-20,https://twitter.com/delArdian_/status/1572018544900206594,delArdian_,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Jgn kuatir bang Karni, Anies Baswedan ttp presiden ntar di 2024 H.",jangan kuatir karni
2022-09-20,https://twitter.com/ikhwannurrizal/status/1572017898344026113,ikhwannurrizal,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo wah mantab
pak anis dari dulu selalu menang di survei presiden

presiden survei nih bos
😂",mantab menang survei survei
2022-09-20,https://twitter.com/meipri/status/1572016238418890752,meipri,"Saat ini kontestasi sulit diubah karena pucuk kekuasaan hasil dari sana.

Harapan saya cuma ke pak @prabowo jika berhasil jadi presiden ubah semua jadi lebih baik. Ga ada yg lebih berkuasa selain rakyat, pemilik modal ga akan dirugikan juga ga akan diberi ruang untuk seenaknya. https://t.co/slkjJyP4PX",kontestasi sulit ubah pucuk kuas hasil harap hasil ubah baik engak kuasa rakyat milik modal engak rugi engak ruang senak
2022-09-20,https://twitter.com/rietiana/status/1572015728630583298,rietiana,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo In syaa Alloh kita akan punya presiden yang lebih baik., Dan itu ada di @aniesbaswedan",baik
2022-09-20,https://twitter.com/Papa_R0ck_NRoll/status/1572012916060356608,Papa_R0ck_NRoll,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Selamat atas terpilihnya Anis sebagai Presiden ILC, terimakasih Pak Karni atas kepemimpinannya selama ini. Kita Rehat Sejenak",selamat pilih ilc terimakasih karni kepemimpinanya rehat
2022-09-19,https://twitter.com/EdM_nagair52/status/1572011611367559168,EdM_nagair52,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo ILC bikin polling pemilihan presiden...!?...hahaha...uups maaf..,ilc poling pilih maf
2022-09-19,https://twitter.com/Gandalf010101Am/status/1572004924996853760,Gandalf010101Am,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo poling tidak bisa dipercaya, apalagi lewat twitter, full akun bot atau akun cloning bukan manusia, jadi anis jadi presiden twitter saja. 😂😂 anak twitter mau di bodohi, gak laku.",poling bisa percaya twiter ful akun bot akun cloning twiter twiter bodoh engak
