features,g1,g2
atas,-0.18947725964326015,0.29892845130113677
atm,0.2058755139965286,-0.09897339239020696
atrocious,0.30990743538562854,-0.15612246964396204
atur,-0.08717164649554823,-0.22960677856700804
audit,-0.03255474062559381,-0.06923020224281784
aug,0.17615562287456607,-0.0959792882094595
aukus,-0.0188376433140326,-0.04876466772976059
aura,-0.07463269701734497,0.234282166198292
auto,0.22223500361016726,-0.11227479348063125
awal,-0.14712182079688996,0.12331824975839815
awas,-0.026730313713196865,0.10256360571670452
away,-0.024772659220416687,-0.0804254553500202
awokwok,-0.02006863259410931,0.09015022549373129
ayahanda,-0.04589367289745314,0.15889854397192038
ayam,1.2488080824902377,-0.5514996062575229
babi,-0.07138321725430433,-0.15604322340420504
baca,-0.05577858261667733,0.09155412654986347
bacapres,-0.1598143358239269,0.08703134115594076
back,-0.05354733972530483,-0.11181146882874159
background,-0.12036461927610895,0.6624378348642126
badak,0.16508545981340958,-0.08150668321167945
badan,-0.04740431163322681,0.0016608824702284153
badri,-0.08943383820352746,-0.514782310902081
bae,-0.049349589841657215,0.17136683370406455
bagi,0.10569230435512383,-0.23366557984382325
bagimana,-0.04341002873636415,0.12405873018981906
bagong,0.18467267375263102,0.07270068702994018
bagus,-0.6392669779816803,2.400511801333949
bahagia,-0.17519763083751766,0.6885322601809676
bahan,0.3318733352595784,-0.1522942887495576
bahas,-0.16003906068512302,0.41345810776125547
bahaya,0.10138267460364127,0.0029902250450611063
baiat,-0.04750666614875618,-0.1280526724808197
baik,-1.024426888895851,3.100621538216974
bajak,-0.04147507935339002,-0.10863383490814421
bajar,-0.12319184746166915,0.10819844936530917
baju,0.19296311810587866,-0.1390647771304723
bakar,0.19447052761049474,-0.0864877319020139
bakso,-0.02537896508770082,-0.07053594224909424
baksos,0.14155868199568233,-0.06621728328363502
bal,-0.20152043122697252,-0.19999513020989387
balap,0.22223500361016726,-0.11227479348063125
balas,-0.2067458565901578,-0.13363015104934947
balasanya,-0.02742937138461504,0.12280565178487524
baliho,-0.08462106486730185,-0.17133232175367022
balik,0.09023976055364931,-0.04631678104565518
bamyak,-0.052970052698628305,-0.12431775574680579
bandar,0.47846077142886356,-0.3487820938902448
