features,g1,g2
ajaib,-0.09046497844528706,0.34932779325878904
ajak,-0.03856280086916923,0.1357281405192404
ajang,-0.03274191405079717,0.05637531459192472
ajar,-0.35636558179422406,0.11254287370308537
ajaranya,-0.03919800961244664,-0.08188763016820826
aji,0.025301166609691228,-0.08642234641732265
aju,0.08536517545698513,0.6000224497188956
ajudan,0.18810477943199636,-0.052889507762649286
ajur,-0.10982359590546567,-0.11598749907136963
akak,0.3097973173670469,-0.10819679977767385
akal,-0.05912475758247948,0.0045927455716154265
akan,-0.025911240907380406,0.08209971188232076
akar,0.15154877261342234,0.03865267269405269
akbar,-0.05455014665328626,0.016233429798967185
akeh,-0.027901577650461376,-0.05065781224730284
akhidahmu,-0.03679391703624369,0.09755151588895364
akhir,0.012546727807971931,-0.2762708728542891
akhirat,-0.07133825153805505,0.02025129519949165
akhlak,-0.05143324593484657,0.18295317954102513
akibat,0.36496448587432956,-0.09475138158946551
akirnya,-0.06464071726566549,0.13172492645332684
akmil,-0.02271335451915625,0.10341512672152368
akpol,-0.02271335451915625,0.10341512672152368
akrab,-0.08215045160430869,0.00015322115810260787
akrobat,-0.04231689123155831,0.1173158535637887
akselerasi,-0.057541722214844236,0.16054311240471825
akses,-0.14286202118920865,0.19964206565661116
aksi,-0.04838139898214258,0.22890103834385142
aktif,0.6029790869767023,-0.21935250601406914
akting,-0.018571269822871373,0.039258413253139425
aktivitas,-0.12063547973698299,0.404928685436241
aktor,-0.08322945348535823,0.30992509521780637
aktris,-0.06286301193254713,0.2386166969534885
aktual,-0.035177878107379566,-0.09297041718512655
aku,0.4138951755520766,-0.156096929081076
akun,0.07533272171942972,0.10467639020525614
akur,-0.03796853923739598,0.06068672255376633
alaekum,-0.02052923872319049,0.10946670052956294
alahu,-0.023171879510144235,0.07607499358173044
alaikum,-0.09489287102071318,0.2101435843105685
alam,-0.10820923787223248,0.6843932542557366
alamak,-0.02471171169981555,0.09781095283289323
alami,0.04847381457801466,0.2862351196853795
alamiah,-0.07084206732810566,0.2943913520227931
alamin,-0.23684908584937028,0.4146909355012253
alang,-0.08189538414532575,0.018232122114795243
alas,0.35023106987602753,-0.1658345399753956
alasanya,-0.09660987624423732,0.11632394310683546
alat,0.1736388877748237,-0.10804453071920504
alergi,-0.0663776738952527,0.24944619986803857
alhamdulilah,-0.3854129637002685,0.025665680334037315
alhasil,0.08157553180524187,-0.042476735491962944
aliansi,-0.012518511597030154,0.05677896052678592
alias,-0.04560128698875744,0.35597536116107326
alien,0.15262296430834507,-0.06209296218667696
alih,0.041440882918347646,-0.09945802325361093
alim,-0.10090609195616555,-0.21016198134249497
alir,-0.07959013313983068,-0.05204304333261717
almarhum,0.421371056150643,-0.21358840177880192
alohuma,-0.04340654189815017,-0.34490103242671033
alqur,-0.059293603173628306,-0.16600899732802987
alternatif,-0.11177079847295196,0.0001890672503284539
alum,-0.07135138188523801,-0.14860696215487892
alumni,-0.01722444123925819,-0.07762472199220477
alumnus,-0.029927912539333083,-0.13861416060258722
alun,-0.02723976096987854,0.1018300477283533
alur,-0.030305947155684344,0.0913227508576476
always,-0.022703695570120298,0.08659176108029155
amal,-0.03033782509058666,0.14233808312491603
aman,-0.11972476198103084,0.4800160363994353
amana,-0.036002171670224986,0.1459009716391736
amanah,0.12847420154440048,0.40712385441037335
amanat,-0.10733872227784823,-0.07598440215899786
amandemen,-0.029790117341982517,0.11475612947114831
amat,-0.2505470022432424,0.6168370576572612
ambal,-0.0647123831556103,0.2936910013112868
ambang,0.1878770092994286,0.1169935225037985
ambasador,-0.04874160982788468,-0.06052694066659206
ambe,-0.04251857285146862,0.11421431208803784
ambil,-0.28684912028078924,0.08673903600909698
ambing,-0.03651991043106465,0.11879358082381672
ambisi,0.23186231601980595,-0.10054838718086527
ambisius,0.20058066363396923,0.11832680831801574
ambo,0.25064896827260463,-0.06698370257651359
ambruk,-0.09684220828214128,0.18077557036839667
amburadul,0.21953251789330971,-0.1639815392057252
ambyar,-0.1975461787059566,0.17800256233956419
amendemen,-0.029247216926453913,0.11217499174285278
amerika,-0.11264369606107046,0.224481767780592
ameriko,-0.04235491827476027,-0.11700318781918295
amien,-0.05376923159341909,-0.08222200968951052
amies,-0.12446652568302816,-0.15853710022317036
amin,-0.028854877731040042,0.15823250939695532
amir,-0.12559383073601443,-0.19409867638679268
amit,-0.14032489484261648,-0.11479280479863681
amnesia,-0.1050543096017323,-0.17531428629042062
ampas,-0.14173718914165453,0.16621195889206902
ampe,0.29533796362328,-0.09708411183678049
amplop,0.04071193455533242,-0.2948380462009842
ampuh,-0.017948665764220998,0.0740995328409521
ampun,-0.1224551568870479,0.059481781470423226
amrik,-0.04679714149046992,0.2160497711155757
amunisi,0.20051601707514682,-0.08362470194839021
anak,-0.17262953005717468,0.1365765645144752
analisa,-0.0573923737932144,0.2565220210856488
analisanya,-0.042500982102725085,0.18192900242588098
analisis,-0.12610404650868734,-0.1578622221659198
analogi,-0.042500982102725085,0.18192900242588098
ananda,0.18463659262685458,-0.0858986584549028
anas,-0.037234994020008474,-0.07819543778005417
ancam,0.05954539149236223,-0.16266876225401172
ancor,-0.02428427773605897,0.11329102976053189
ancur,0.12459796689892455,-0.36001276150125666
anda,0.22904942168376177,0.23014538752413388
andai,-0.3994317156695795,0.3048863636740637
andaikata,-0.07612255104958594,-0.16406656950149673
andal,-0.1949382434281267,-0.24540416581510657
andhika,-0.03470435646123074,-0.25775992268243497
andika,0.1053395248566989,0.17396626230189668
andil,-0.03534032193190808,0.11952168377877406
