features,g1,g2
ahlan,-0.03161507938617254,0.16905910076801156
ahli,0.08480075351384926,-0.5005914855610175
ahmad,-0.2245918345186969,0.06969836098300954
aho,-0.08456428998923203,-0.2358598010711123
ahog,0.16292881425890487,-0.0835922811815147
ahoker,-0.1035298987203487,0.06305937414618361
ahokers,-0.050154095154861564,0.09931108598339375
aibon,-0.015400790906146222,-0.05990848143856536
aid,-0.03209141189671653,0.12458664296442964
aih,0.16709923690283304,-0.11411987118066161
air,-0.0763409890574773,0.2592400357582925
airlanga,-0.35281044422017666,0.33779647370101956
aja,0.25099530024942557,0.1797111052250821
ajagak,0.24182023869416408,-0.10156779849301896
ajah,-0.07559424032582764,0.20869374524738266
ajaib,-0.19772005487103544,0.6925073732567671
ajak,-0.1904996354851507,-0.2873443668605989
ajalh,-0.11447426541844122,-0.12728697000093864
ajang,-0.05708152316252064,0.11620135711497356
ajar,0.8053715295145074,0.0703040484985935
aji,-0.050259929545275646,-0.02395790246033465
ajor,-0.022201870181655963,0.06783827262073074
aju,-0.031209851599099076,-0.3003713300489627
akademik,-0.06286412878984897,0.07884126099165965
akademis,-0.06485744420379654,0.18235516777404986
akademisi,-0.11385757742163377,0.34079696218871747
akaj,0.024925721905515064,-0.023293739581580528
akak,-0.17146380679809423,0.4320295711794362
akal,0.9318863239754394,-0.6156594144648213
akan,-0.049817058842536455,0.12740962337228964
akbar,-0.034550743280387375,0.1770157024484205
akeh,0.20735285606135734,-0.09116939504892388
akhir,-0.4424627671280623,-0.26018375256695253
akhirat,0.11956637981826913,-0.48061239627421587
akhlak,-0.16428655066665263,0.27955149193169154
akhlaq,-0.04625942087538895,0.15306203745665484
akibat,0.18603068373826914,-0.0507918019950946
akidah,-0.107717746315025,0.39110585666405395
akomodasi,-0.035386346801716706,-0.06651420732141101
akomodir,-0.03026672664958281,0.14210887417590343
akrab,-0.03366714368561164,0.28820420976127287
akrobat,-0.019764567342697374,0.0831592223499165
akses,-0.1021160956138803,0.38465269966632626
aksi,-0.1998002714625479,0.2882129432723175
akte,0.12022329653197894,-0.23704184458904556
aktif,1.7576417135646296,-0.7475381326834706
aktifitas,-0.06370485634616388,0.01108931683911508
akting,-0.06582444710511066,-0.10341098338169222
aktivitas,-0.08753498763066068,0.3350830714074266
aktor,-0.07325701348328555,0.09452535285312343
aku,0.4338053357446099,-0.1578590138888419
akun,0.14124282001886287,-0.5499322927033671
akur,-0.2577148201498138,0.42235708555074447
akurat,-0.0897906858005175,0.15749979802457068
alahu,-0.01985069826600376,0.1553264792927465
alahuakbar,-0.10807034550110307,-0.07951891702817604
alahuma,-0.1441199604927664,0.12399085193922575
alahumasoli,-0.020885744934033477,0.027350763375157728
alaikum,0.031827910878733254,-0.24512564385770927
alalmin,-0.01785509463087017,-0.21565254801834377
alam,0.32020340284860466,0.7252954831092617
alamat,0.24901021051483727,0.038867407081403724
alami,-0.08725201498730768,0.8267186176970409
alamin,-0.5932842520028396,1.0856707849357092
alang,-0.14360487715741235,0.43172652653705595
alangkah,0.17812687566933935,0.16270253532170398
alas,0.036304647636277186,0.12475568790250449
alasane,-0.05694228648997926,-0.04945304953621292
alasanya,-0.09068740688863972,-0.09001540181193526
alat,-0.42315235361660647,-0.07572500399053747
album,-0.02424746608084054,0.05993980750804551
aldo,-0.04421452732494351,-0.08270749822696087
alergi,-0.06352186980564427,0.24118625987271214
alert,0.19352372109856575,-0.078778687454274
ales,-0.037216130028200504,-0.12841643488960897
